index,SMILE,fr_methoxy,EState_VSA2,PEOE_VSA1,SMR_VSA6,Chi3n,MinPartialCharge,SlogP_VSA2,MinAbsPartialCharge,Chi4n,Chi4v,GWP
66,C(C(F)(F)F)(C(F)(F)F)(F)F,0,0.0,0.0,0.0,0.7120447833283489,-0.18606141550217656,18.275126202981525,0.18606141550217656,0.16071428571428567,0.16071428571428567,3.968015714
67,C(C(F)(F)F)(C(F)(F)F)F,0,0.0,0.0,0.0,0.5747626650066854,-0.22720822226482168,18.524272430397243,0.22720822226482168,0.1855768722395226,0.1855768722395226,3.556302501
68,C(C(F)(F)F)(Cl)Br,0,0.0,0.0,0.0,0.24743582965269678,-0.16838743541161363,10.462654409784617,0.16838743541161363,0.0,0.0,1.653212514
69,C(C(F)(F)F)(Cl)Cl,0,0.0,0.0,0.0,0.24743582965269678,-0.1680013943449183,11.01256820769353,0.1680013943449183,0.0,0.0,1.95616843
70,C(C(F)(F)F)(F)(F)F,0,0.0,0.0,0.0,0.32142857142857134,-0.16247224502605678,12.35259703488695,0.16247224502605678,0.0,0.0,4.093421685
71,C(C(F)(F)F)(F)Br,0,0.0,0.0,0.0,0.24743582965269678,-0.22483498851692799,11.257241937089187,0.22483498851692799,0.0,0.0,2.303196057
72,C(C(F)(F)F)(F)Cl,0,0.0,0.0,0.0,0.24743582965269678,-0.21974300835742627,11.807155734998098,0.21974300835742627,0.0,0.0,2.775974331
73,C(C(F)(F)F)(F)F,0,0.0,0.0,0.0,0.24743582965269678,-0.20005386012180168,12.601743262302666,0.20005386012180168,0.0,0.0,3.572871602
74,C(C(F)(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,0,0.0,0.0,0.0,1.2303836509991841,-0.27171265211865553,30.74145144976021,0.27171265211865553,0.4357780912375439,0.4357780912375439,3.821513528
75,C(C(F)(F)F)(OC(F)(F)F)F,0,0.0,0.0,0.0,0.49444826215638926,-0.24743252575858637,18.896393113571058,0.24743252575858637,0.18413824818382274,0.18413824818382274,3.876217841
76,C(C(F)(F)F)(OC(F)F)F,0,0.0,0.0,0.0,0.47969326748862984,-0.2794569037876448,19.145539340986776,0.2794569037876448,0.16746691453639692,0.16746691453639692,3.413299764
77,C(C(F)(F)F)Br,0,0.0,0.0,5.330089647061427,0.15152288168283157,-0.17016544196179476,11.506388164504902,0.17016544196179476,0.0,0.0,2.247973266
78,C(C(F)(F)F)C(F)(F)F,0,0.0,0.0,0.0,0.4008918628686365,-0.17076985389678118,12.35259703488695,0.17076985389678118,0.2272843225242474,0.2272843225242474,3.939019776
79,C(C(F)(F)F)Cl,0,0.0,0.0,5.880003444970339,0.15152288168283157,-0.1697334921102328,12.056301962413814,0.1697334921102328,0.0,0.0,2.588831726
80,C(C(F)(F)F)F,0,0.0,0.0,6.674590972274908,0.15152288168283157,-0.24112655579497494,12.850889489718384,0.24112655579497494,0.0,0.0,3.184691431
81,C(C(F)(F)F)O,0,0.0,5.106527394840706,6.606881964512918,0.17928429140015903,-0.38694577075923503,17.889707876797097,0.38694577075923503,0.0,0.0,1.552668216
82,C(C(F)(F)F)OC(C(F)(F)F)(F)F,0,0.0,4.736862953800049,6.606881964512918,0.74712315684968,-0.3036626424050345,25.068068509081353,0.3036626424050345,0.254302282060344,0.254302282060344,3.017033339
83,C(C(F)(F)F)OC(C(F)F)(F)F,0,0.0,4.736862953800049,6.606881964512918,0.6823187801829664,-0.30640043010911366,25.31721473649707,0.30640043010911366,0.24104692689903312,0.24104692689903312,2.991226076
84,C(C(F)(F)F)OC(F)(F)F,0,0.0,0.0,6.606881964512918,0.3994956190026918,-0.2823571672562909,19.145539340986776,0.2823571672562909,0.1636634176769943,0.1636634176769943,3.041392685
85,C(C(F)(F)F)OC(F)F,0,0.0,4.736862953800049,6.606881964512918,0.37298490868007006,-0.3134129402883151,19.394685568402494,0.3134129402883151,0.157485197087178,0.157485197087178,2.943494516
86,C(C(F)(F)F)OC=O,0,6.472220864716464,4.736862953800049,6.606881964512918,0.3150381327543048,-0.45824023043308826,19.255401346672855,0.4221728098798466,0.1285118091242954,0.1285118091242954,1.738780558
