struc_name,E_LJ_single,E_LJ_two
type6_56,0.26985119203658314,0.2754380661779692
type6_57,0.2534846514516289,0.2586838005466916
type6_58,0.23833263548237937,0.2431660204021
type6_59,0.22428910489009013,0.22877743090600688
type6_60,0.21125862740001367,0.215421422183681
type7_15,-28.352856177347576,-28.74789343593966
type7_16,-22.983676351629583,-23.32220299063681
type7_17,-18.70519185128785,-18.985647494286354
type7_18,-15.26505908738477,-15.489140489565784
type7_19,-12.482545185126241,-12.654293817346911
type7_20,-10.223628088837472,-10.348519328928091
type7_21,-8.38579147677558,-8.46995607467045
type7_22,-6.888656261442748,-6.93829151768557
type7_23,-5.6680850124764675,-5.689058963822845
type7_24,-4.672332450874251,-4.66995341179711
type7_25,-3.85940128117727,-3.8383131654137514
type7_26,-3.1951211382959173,-3.159285260499587
type7_27,-2.6516803131230517,-2.6044107261208183
type7_28,-2.2064602731569494,-2.150487917493251
type7_29,-1.8410886186195512,-1.7786373020621795
type7_30,-1.5406605762532308,-1.473524067728249
type7_31,-1.2930967538544564,-1.2227108759816474
type7_32,-1.0886138925900468,-1.0161206238921068
type7_33,-0.9192902258986351,-0.8455928040173148
type7_34,-0.7787100524691937,-0.7045192290162845
type7_35,-0.6616743234919227,-0.5875465299570237
type7_36,-0.5639658828257552,-0.4903343280597028
type7_37,-0.4821596445570435,-0.4093594194625325
type7_38,-0.4134694858618104,-0.34175769377179677
type7_39,-0.35562497362280965,-0.2851967943065574
type7_40,-0.30677222419137706,-0.23777369058478826
type7_41,-0.2653942159577696,-0.19793235509740725
type7_42,-0.23024674056466665,-0.16439761366018502
type7_43,-0.20030690312614752,-0.13612197826637384
type7_44,-0.17473168051782295,-0.11224288592791254
type7_45,-0.15282453670727136,-0.09204827182657027
type7_46,-0.13400849187604535,-0.07494881607664183
type7_47,-0.11780436308873732,-0.0604555356683818
type7_48,-0.1038131521480068,-0.04816166038614256
type7_49,-0.09170176268543173,-0.03772794555192149
type7_50,-0.08119139339248704,-0.028870745439689927
type7_51,-0.07204808569127863,-0.021352307528900383
type7_52,-0.0640750088126083,-0.01497285632206058
type7_53,-0.05710614855706808,-0.009564121840128337
type7_54,-0.05100113234618675,-0.004984036660630409
type7_55,-0.04564097599973138,-0.001112380089296039
type7_56,-0.04092457977998265,0.0021528083536281883
type7_57,-0.03676583484588036,0.004898189186747004
type7_58,-0.03309122809650944,0.007197572269546981
type7_59,-0.029837854861341384,0.00911394827659251
type7_60,-0.02695176610092176,0.01070117770490242
type8_15,-26.06969649831308,-26.03709269192791
type8_16,-21.18801440166294,-21.14786766591203
type8_17,-17.388848038391757,-17.342613184799802
type8_18,-14.394628123138205,-14.343624706545711
type8_19,-12.009853813894551,-11.9552527672613
type8_20,-10.091286224916189,-10.034102480216802
type8_21,-8.53478657169319,-8.475885745300843
type8_22,-7.261545227043143,-7.201652355293163
type8_23,-6.2128232180617715,-6.1525372114662105
type8_24,-5.342972270152927,-5.282780262316464
type8_25,-4.617295231613866,-4.557587656745113
type8_26,-4.0082230835718065,-3.949308083089136
type8_27,-3.4944701669447795,-3.436586198305463
type8_28,-3.0588008512615943,-3.0021289209735187
type8_29,-2.6877386164982227,-2.6324116548017855
type8_30,-2.3701896365314497,-2.3163020819238227
type8_31,-2.0973897443105898,-2.0450039714356762
type8_32,-1.862017433470669,-1.8111709615371865
type8_33,-1.65823929148371,-1.6089488905106464
type8_34,-1.481116549573926,-1.433383565162785
type8_35,-1.326686379079888,-1.2804991503941778
type8_36,-1.1915519815838138,-1.1468897645272023
type8_37,-1.0729717571546757,-1.0298059772052852
type8_38,-0.968568306639213,-0.9268654742959939
type8_39,-0.8764134489557023,-0.8361356396927135
type8_40,-0.7948166673590435,-0.7559237248920567
type8_41,-0.722401390087839,-0.6848509116874766
type8_42,-0.6579479540714033,-0.6216969933469727
type8_43,-0.6004599936753721,-0.565464741660378
type8_44,-0.5490457100186177,-0.5152628451430701
type8_45,-0.5029747307769412,-0.4703609227453285
type8_46,-0.4615868643062413,-0.43009987280265705
type8_47,-0.42434039548913915,-0.3939384798517267
type8_48,-0.39074093356282447,-0.36138376962367147
type8_49,-0.36038227776481335,-0.3320303265152802
type8_50,-0.3328902047953193,-0.3055054947998883
type8_51,-0.3079570102191269,-0.28150249862397914
type8_52,-0.285296573640494,-0.2597368267585125
type8_53,-0.264673573433754,-0.2399741404082647
type8_54,-0.2458671833632593,-0.22199519754286712
type8_55,-0.2286958252303748,-0.20561940232425968
type8_56,-0.21298755483695686,-0.19067633099615477
type8_57,-0.19860108549289635,-0.1770256463432247
type8_58,-0.1854014177299632,-0.16453378456168366
type8_59,-0.1732777472466296,-0.1530908398506199
type8_60,-0.16212324831974456,-0.14259132763118032
