index,SMILE,FractionCSP3,fr_halogen,IP,SMR_VSA7,ExactMolWt,HomoLumoGap,Chi0v,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_CHGHI,GWP
134,C=C(C(F)(F)F)F,0.3333333333333333,4,0.395688332,12.405809563016664,114.009262944,0.27158,3.2189646732234567,1.4285714285714286,1.4285714285714286,2.3168217370396267,-0.300162274
135,C=C(F)F,0.0,2,0.374979178,12.65957891236556,64.012456504,0.28947,1.963035727205002,1.5,1.5,1.6543254018015254,-1.283996656
136,C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.75,13,0.38933076,12.654955790432378,346.00271695600003,0.27212,9.197995199496123,0.7619047619047619,1.0,2.899127477385185,-0.790484985
137,C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.6666666666666666,9,0.39444207,12.654955790432378,246.009104076,0.27227,6.686137307459216,1.0,1.2,2.804325617952409,-0.690369833
138,C=CC(C(C(F)(F)F)(F)F)(F)F,0.6,7,0.396643015,12.654955790432378,196.012297636,0.27259,5.430208361440763,1.1666666666666667,1.25,2.7115133522195,-0.628932138
139,C=CC(C(F)(F)F)(F)F,0.5,5,0.400060601,12.654955790432378,146.015491196,0.27422,4.174279415422309,1.3333333333333333,1.3333333333333333,2.5438061340682525,-0.739928612
140,C=CC(F)(F)F,0.3333333333333333,3,0.403786882,12.654955790432378,96.018684756,0.27809,2.918350469403855,1.5,1.5,2.192804604752247,-0.583359493
141,C=CCOC(=O)C(F)(F)F,0.4,3,0.366368943,12.654955790432378,154.02416406,0.24274,4.941953831518128,2.1,2.4,2.4006222324136903,-2.15490196
142,C=CF,0.0,1,0.374231874,12.908725139781279,46.021878316,0.28154,1.6624215233854005,2.0,2.0,1.18892955273478,-1.619788758
143,C=COC(=O)C(F)(F)F,0.25,3,0.368239439,12.841016132019288,140.008513996,0.22521,4.234847050331581,2.0,2.111111111111111,2.3997922350957923,-2.096910013
144,C=COCC(F)(F)F,0.5,3,0.33623079,12.841016132019288,126.02924944,0.26885,4.033705541054266,2.0,2.125,2.26788716982611,-1.236572006
145,CBr,1.0,1,0.38708764,0.0,93.941812196,0.27494,2.9639610121239315,1.5,1.5,0.9484539855727963,0.385606274
146,CC(=O)C(F)(F)F,0.6666666666666666,3,0.385391595,0.0,112.013599376,0.22636,3.542141709491545,1.5714285714285714,1.5714285714285714,2.332153109305105,-1.045757491
147,CC(C(F)(F)F)(F)F,1.0,5,0.44720753,0.0,134.015491196,0.43408,3.8898223650461365,1.0,1.0,2.524795095192332,3.658011397
148,CC(C)(F)F,1.0,2,0.422796813,0.0,80.043756632,0.41703,3.2559289460184546,1.2,1.2,2.0800666175906413,2.777426822
149,CC(C)Br,1.0,1,0.36951547,0.0,121.973112324,0.26734,4.541311281313557,1.5,1.5,1.7053538776272599,-0.899629455
150,CC(C)Cl,1.0,1,0.39144981,0.0,78.023627904,0.31386,3.7112436882173077,1.5,1.5,1.7111173558495882,-0.742321425
151,CC(CC(F)(F)F)(F)F,1.0,5,0.433993344,0.0,148.03114126,0.41863,4.596929146232683,1.3333333333333333,1.3333333333333333,2.391075732308369,2.960946196
152,CC(Cl)(Cl)Cl,1.0,3,0.39595577,0.0,131.930033136,0.26298,4.9016802570830444,1.2,1.2,2.065641219022883,2.206825876
153,CC(F)(F)Cl,1.0,3,0.436173907,0.0,99.989134216,0.32984,3.389822365046136,1.6,1.6,2.1219416398338544,3.361727836
154,CC(F)(F)F,1.0,3,0.482135692,0.0,84.018684756,0.48056,2.633893419027682,1.2,1.2,2.1514710218166915,3.764176132
